Degree0,XCoordinate0,YCoordinate0,ZCoordinate0,Degree1,XCoordinate1,YCoordinate1,ZCoordinate1
0,177.3640324,0,0,0,204.7823235,0,0
0.11,157.4201663,0.302072179,0,0.11,205.986999,0.395266649,0
0.22,156.9740013,0.602434291,0,0.22,205.9858613,0.790531842,0
0.34,156.7499143,0.92971206,0,0.34,217.0944695,1.287626519,0
0.45,159.5663841,1.252621845,0,0.45,217.8824021,1.71041199,0
0.56,159.5636867,1.558809513,0,0.56,218.6788425,2.136317272,0
0.68,159.1962108,1.888509409,0,0.68,219.4710799,2.603536839,0
0.79,159.0074346,2.191437858,0,0.79,220.0696123,3.03299579,0
0.9,159.0029368,2.496551235,0,0.9,221.2866044,3.474485169,0
1.01,158.4504276,2.792009388,0,1.01,223.9086873,3.945430545,0
1.13,158.2616979,3.120093895,0,1.13,225.7491799,4.450594473,0
1.24,158.0726779,3.419821059,0,1.24,225.9471288,4.888249884,0
1.35,158.0658246,3.723138482,0,1.35,227.1813496,5.351110067,0
1.46,157.8765078,4.021808875,0,1.46,227.1706632,5.787035715,0
1.57,157.6864177,4.319760691,0,1.57,228.6145458,6.262810346,0
1.69,157.3111964,4.639052928,0,1.69,229.0172228,6.753638917,0
1.8,157.4844884,4.946638773,0,1.8,242.5251929,7.617794836,0
1.91,157.8390178,5.26096766,0,1.91,242.5101287,8.083159424,0
2.02,157.828632,5.563833326,0,2.02,244.0924486,8.604837299,0
2.14,157.4523796,5.88060429,0,2.14,244.6735791,9.138181987,0
2.25,157.6230271,6.189882775,0,2.25,245.0579297,9.623466098,0
2.36,158.1583267,6.514883636,0,2.36,245.2409349,10.10200467,0
2.47,158.1455341,6.818359711,0,2.47,245.8258231,10.59864825,0
2.59,158.1309146,7.149395848,0,2.59,245.803098,11.11322004,0
2.7,158.1169045,7.452818155,0,2.7,258.8557496,12.20112951,0
2.81,158.4699584,7.77424907,0,2.81,259.7952325,12.74508345,0
2.92,159.1832465,8.115460996,0,2.92,261.1205588,13.31241671,0
3.04,159.5309549,8.468043507,0,3.04,261.4813982,13.87966278,0
3.15,159.6950422,8.784085539,0,3.15,261.841674,14.40269924,0
3.26,160.0436929,9.111331337,0,3.26,262.2066675,14.9274975,0
3.37,161.118212,9.482708251,0,3.37,263.920543,15.53320062,0
3.49,161.4624772,9.842178061,0,3.49,264.8531447,16.14450525,0
3.6,161.8089503,10.17498177,0,3.6,265.016251,16.66493427,0
3.71,162.7031329,10.54469236,0,3.71,265.1788176,17.18607997,0
3.82,163.2278672,10.89327132,0,3.82,265.7332633,17.73413195,0
3.94,164.4778582,11.32258072,0,3.94,266.4785571,18.3442623,0
4.05,164.4558286,11.63817442,0,4.05,266.4428659,18.85557096,0
4.16,165.1655717,12.00696663,0,4.16,271.4744061,19.73525173,0
4.27,166.7805751,12.44614178,0,4.27,274.5409767,20.48785308,0
4.39,166.9353939,12.8091482,0,4.39,274.8871468,21.09241258,0
4.5,168.7276216,13.2723921,0,4.5,275.8264704,21.69696362,0
4.61,169.250135,13.64032538,0,4.61,276.1773348,22.25787713,0
4.72,169.7720356,14.01032751,0,4.72,276.7254779,22.83659121,0
4.84,171.5624595,14.51972733,0,4.84,277.4725965,23.48314691,0
4.95,171.5342819,14.84890969,0,4.95,278.4106501,24.10069027,0
5.06,172.414746,15.25850702,0,5.06,278.5631348,24.65251752,0
5.18,173.2877145,15.70142202,0,5.18,285.0011204,25.82365911,0
5.29,174.5358754,16.15224033,0,5.29,289.1181005,26.7561327,0
5.4,176.3146046,16.6581377,0,5.4,306.4474746,28.95304243,0
5.51,178.1060909,17.17227613,0,5.51,306.3913527,29.54102742,0
5.63,179.1547037,17.65197296,0,5.63,320.8279126,31.61092353,0
5.74,179.1205017,17.99571822,0,5.74,321.6099886,32.31122444,0
5.85,180.3681385,18.47073241,0,5.85,322.3834386,33.01391408,0
5.96,182.6845122,19.06223992,0,5.96,322.5308864,33.65452858,0
6.08,183.5510187,19.54115805,0,6.08,323.0910981,34.39683558,0
6.19,184.2370583,19.97180589,0,6.19,323.2358616,35.03966001,0
6.3,184.560977,20.36530826,0,6.3,323.804816,35.73011481,0
6.41,185.0706534,20.78107894,0,6.41,307.3453961,34.51097632,0
6.53,187.3878881,21.43858004,0,6.53,307.9473051,35.23148167,0
6.64,188.4299077,21.92418453,0,6.64,308.7700168,35.92598918,0
6.75,189.4714964,22.41395488,0,6.75,309.5969136,36.62446006,0
6.86,189.9741842,22.84314663,0,6.86,310.1988981,37.29937805,0
6.98,190.4737413,23.30780751,0,6.98,311.0185593,38.05858311,0
7.09,191.1555821,23.76362943,0,7.09,311.8443672,38.76713355,0
7.2,192.5651092,24.31416729,0,7.2,311.7694033,39.3654565,0
7.31,192.5180985,24.68363335,0,7.31,313.2640586,40.1650298,0
7.43,192.830098,25.13404039,0,7.43,313.4049578,40.85012117,0
7.54,193.511693,25.60061244,0,7.54,314.2274299,41.57069027,0
7.65,194.1911467,26.06975045,0,7.65,315.2704333,42.32438844,0
7.76,194.3239972,26.46729013,0,7.76,314.9645949,42.8987641,0
7.88,194.6323296,26.9243931,0,7.88,315.3243896,43.62028569,0
7.99,194.7629232,27.32344058,0,7.99,315.4643269,44.25673351,0
8.1,195.6254255,27.82731679,0,8.1,315.8285262,44.92596209,0
8.21,196.6655903,28.3603992,0,8.21,315.5160953,45.49937995,0
8.33,197.3372728,28.87907107,0,8.33,314.9703934,46.0939398,0
8.44,197.4645087,29.28482785,0,8.44,314.8813644,46.69824776,0
8.55,197.9566469,29.74613646,0,8.55,314.1166397,47.20102395,0
8.66,198.4486859,30.20958536,0,8.66,313.1291022,47.66723597,0
8.78,198.7506465,30.6813815,0,8.78,311.6840421,48.11504853,0
8.89,199.0570777,31.11987292,0,8.89,311.3664406,48.67791778,0
9,199.1803408,31.53080785,0,9,310.6032412,49.1693662,0
9.11,199.4863575,31.97175571,0,9.11,309.3951223,49.58687598,0
9.23,200.1521266,32.50835106,0,9.23,308.3934512,50.08871375,0
9.34,200.0893782,32.89236066,0,9.34,311.3327191,51.17946876,0
9.45,200.3936521,33.33742943,0,9.45,309.9092392,51.55641052,0
9.56,200.6962798,33.78367346,0,9.56,309.1501919,52.03997374,0
9.68,200.6251197,34.20372335,0,9.68,305.9632126,52.16236679,0
9.79,200.9267756,34.65204422,0,9.79,304.9894521,52.59880345,0
9.9,200.8599123,35.03753634,0,9.9,304.4547584,53.10838055,0
10.01,201.1606578,35.48788185,0,10.01,301.2867376,53.15168615,0
10.13,201.269381,35.94166001,0,10.13,297.9120686,53.19961847,0
10.24,201.2000425,36.32780718,0,10.24,295.8633545,53.41980429,0
10.35,201.1299631,36.71382059,0,10.35,293.5934404,53.59190014,0
10.46,201.0591431,37.09969881,0,10.46,289.8384759,53.48137864,0
10.58,200.9810406,37.52050102,0,10.58,288.6489188,53.88693393,0
10.69,200.9086729,37.90609199,0,10.69,285.5672665,53.87890387,0
10.8,200.8355655,38.29154339,0,10.8,282.6858509,53.89721435,0
10.91,200.5779282,38.64144647,0,10.91,277.5582328,53.47174384,0
11.03,200.4965994,39.06123796,0,11.03,270.4873837,52.69701379,0
11.14,200.4212761,39.44589651,0,11.14,267.2741435,52.60353796,0
11.25,200.1622704,39.79403882,0,11.25,265.1414613,52.71247965,0
11.36,200.0855416,40.17805447,0,11.36,264.2436383,53.06128175,0
11.48,200.0009972,40.59681187,0,11.48,258.2846625,52.42740788,0
11.59,199.7406363,40.94319105,0,11.59,250.2296495,51.29251884,0
11.7,199.6617031,41.32639552,0,11.7,246.5490089,51.03122781,0
11.81,199.5820348,41.70944783,0,11.81,245.6718392,51.34147855,0
11.93,199.4942858,42.12714786,0,11.93,238.5494063,50.37440581,0
12.04,199.4130813,42.50987744,0,12.04,203.6231829,43.40736571,0
12.15,199.1500579,42.85348436,0,12.15,198.7413129,42.76552985,0
12.26,198.8870862,43.19637655,0,12.26,196.2732677,42.62868013,0
12.38,198.7962261,43.61261857,0,12.38,195.3218948,42.85040749,0
12.49,198.7121724,43.99400591,0,12.49,192.0537961,42.51987053,0
12.6,201.710754,45.06408453,0,12.6,186.2048514,41.59991967,0
12.71,201.6239097,45.45106186,0,12.71,186.124683,41.95714929,0
12.83,201.5283238,45.87302801,0,12.83,181.4520584,41.30315381,0
12.94,201.4399276,46.25965378,0,12.94,178.2380848,40.93146871,0
13.05,201.3507897,46.64610922,0,13.05,175.2665772,40.60328701,0
13.16,201.2609103,47.03239289,0,13.16,173.1653537,40.46677986,0
13.28,201.1620149,47.45359571,0,13.28,170.2304936,40.15693034,0
13.39,201.0705865,47.83951566,0,13.39,169.5563659,40.34152666,0
13.5,200.9784176,48.22525947,0,13.5,168.6957448,40.47895371,0
13.61,200.8855087,48.6108257,0,13.61,162.6229512,39.3519472,0
13.73,200.78331,49.03123921,0,13.73,162.5402182,39.69228478,0
13.84,200.6888549,49.41642957,0,13.84,161.1135056,39.67163102,0
13.95,200.5936609,49.80143797,0,13.95,159.2850718,39.54574432,0
14.06,200.4977282,50.18626299,0,14.06,135.7920729,33.98989476,0
14.18,199.6967503,50.43022839,0,14.18,135.0686722,34.10943833,0
14.29,199.5996127,50.81333118,0,14.29,132.4239449,33.71199813,0
14.4,199.5017401,51.19624687,0,14.4,129.347623,33.19325856,0
14.51,198.5296754,51.35303955,0,14.51,126.7356328,32.78230295,0
14.63,198.4217414,51.76851552,0,14.63,124.5633602,32.49875845,0
14.74,198.3220381,52.14916925,0,14.74,124.2940004,32.68335141,0
14.85,198.2216046,52.52963097,0,14.85,123.4160808,32.70582533,0
14.96,198.1204412,52.90989926,0,14.96,121.2927665,32.39235698,0
15.08,198.0092492,53.32451515,0,15.08,118.0851998,31.80071666,0
15.19,197.9065608,53.70437449,0,15.19,118.0239604,32.02725035,0
15.3,197.8031438,54.08403609,0,15.3,117.9622864,32.25366611,0
15.41,197.6989985,54.46349854,0,15.41,115.073986,31.701384,0
15.53,197.5845551,54.87722881,0,15.53,112.779611,31.32346308,0
15.64,197.4788881,55.25627035,0,15.64,112.3203829,31.42819723,0
15.75,197.372494,55.63510843,0,15.75,111.6666174,31.47644457,0
15.86,197.093683,55.96499006,0,15.86,111.0149171,31.52282018,0
15.98,195.2164216,55.87380474,0,15.98,109.7593475,31.41473601,0
16.09,195.1088467,56.24830027,0,16.09,108.9150253,31.39931965,0
16.2,195.0005533,56.62258868,0,16.2,108.4641503,31.49488997,0
16.31,194.8915419,56.9966686,0,16.31,108.0153129,31.5894314,0
16.43,194.7718019,57.40451638,0,16.43,106.4002414,31.35902804,0
16.54,194.6612905,57.77815591,0,16.54,105.5713752,31.33504025,0
16.65,192.7804407,57.6226376,0,16.65,105.320342,31.4805583,0
16.76,192.6695144,57.99245553,0,16.76,104.4973715,31.45312941,0
16.88,192.5476948,58.39564969,0,16.88,103.8623898,31.49926951,0
16.99,192.4352856,58.76501958,0,16.99,102.6711879,31.35326428,0
17.1,192.3221678,59.1341731,0,17.1,89.3408987,27.47005313,0
17.21,191.8622408,59.39596423,0,17.21,89.28802227,27.64143771,0
17.33,191.7374849,59.79746542,0,17.33,88.80816731,27.69674024,0
17.44,191.6223873,60.16527804,0,17.44,86.4133072,27.13190628,0
17.55,189.929881,60.0344927,0,17.55,86.86894606,27.45820237,0
17.66,189.6408351,60.34362971,0,17.66,86.2976724,27.45988112,0
17.78,189.5141004,60.74047869,0,17.78,86.0689564,27.58564983,0
17.89,189.3971973,61.10402314,0,17.89,85.15425077,27.47277881,0
18,189.2795969,61.4673426,0,18,83.73692338,27.19303212,0
18.11,188.9888798,61.77407755,0,18.11,83.68458884,27.35366381,0
18.23,188.859152,62.16955863,0,18.23,82.95373365,27.30710666,0
18.34,188.3970429,62.41838057,0,18.34,82.23182069,27.24446732,0
18.45,188.2769222,62.77977843,0,18.45,82.01404744,27.34707826,0
18.56,184.206021,61.81538498,0,18.56,81.46186065,27.33676266,0
18.68,183.5704705,62.02995791,0,18.68,81.40445725,27.50722947,0
18.79,181.7247173,61.79504127,0,18.79,81.02398954,27.55200752,0
18.9,180.9259393,61.91099379,0,18.9,80.14961466,27.426373,0
19.01,180.3104373,62.08713941,0,19.01,80.09683897,27.58012061,0
19.12,178.1278529,61.7181876,0,19.12,79.8809386,27.67734901,0
19.24,177.5029796,61.91816289,0,19.24,79.8228257,27.84450568,0
19.35,177.3838388,62.25865718,0,19.35,79.28318436,27.82702544,0
19.46,175.6010317,62.01164672,0,19.46,79.22964146,27.97910973,0
19.57,173.8167132,61.75691761,0,19.57,76.37111696,27.13458729,0
19.69,173.0119467,61.87918031,0,19.69,76.14841703,27.23512287,0
19.8,172.2267414,61.9713608,0,19.8,75.93003759,27.32147004,0
19.91,166.6186947,60.31481786,0,19.91,75.87747096,27.46712096,0
20.02,164.006255,59.72532961,0,20.02,75.49398708,27.49226402,0
20.14,162.1974734,59.45148967,0,20.14,75.27151088,27.58984686,0
20.25,161.4045737,59.51243771,0,20.25,72.11846696,26.5912277,0
20.36,158.5004075,58.78736396,0,20.36,72.0673086,26.72956599,0
20.47,156.7382284,58.47615836,0,20.47,71.84605145,26.80444411,0
20.59,153.4482107,57.61492826,0,20.59,71.27825806,26.76272148,0
20.7,151.8946669,57.36442133,0,20.7,71.22677218,26.89944718,0
20.81,150.4590881,57.15239398,0,20.81,71.00599725,26.97186844,0
20.92,149.8710015,57.25832891,0,20.92,70.78480426,27.04338773,0
21.04,146.867453,56.46342112,0,21.04,70.38847763,27.06095989,0
21.15,143.1894391,55.36501183,0,21.15,70.3364211,27.19597766,0
21.26,141.8298712,55.15240362,0,21.26,69.94754437,27.20001905,0
21.37,140.9592675,55.1254773,0,21.37,69.55936456,27.20284548,0
21.49,138.7722931,54.60540868,0,21.49,69.33282692,27.28172363,0
21.6,124.3366659,49.20088254,0,21.6,68.77619647,27.21521877,0
21.71,121.8400948,48.4835844,0,21.71,67.85472323,27.00129383,0
21.82,120.8972108,48.37731303,0,21.82,67.63412855,27.06396108,0
21.94,119.818127,48.23674032,0,21.94,67.23902818,27.0692893,0
22.05,115.2733295,46.66432794,0,22.05,67.01730388,27.12958374,0
22.16,114.3244965,46.5357515,0,22.16,66.96512187,27.25813247,0
22.27,112.4115763,46.00874021,0,22.27,66.91269329,27.38658084,0
22.39,110.2791368,45.40571166,0,22.39,66.68767767,27.4576094,0
22.5,109.6890175,45.40909709,0,22.5,66.46703804,27.5160472,0
22.61,106.5842758,44.36356034,0,22.61,66.41411547,27.64353932,0
22.72,104.4496683,43.71041199,0,22.72,66.19296329,27.70063076,0
